true,x,y,z,predicted
1,377,453,380,1
1,381,455,381,1
1,368,449,376,1
1,368,450,377,1
1,372,452,380,1
1,374,454,380,1
1,369,451,378,1
1,368,450,377,1
1,370,451,379,1
1,368,449,377,1
1,368,448,376,1
1,368,448,376,1
1,368,449,376,1
1,369,449,377,1
1,371,452,379,1
1,372,453,380,1
1,370,452,379,1
1,371,452,379,1
1,371,453,380,1
1,370,451,379,1
1,370,452,380,1
1,372,453,380,1
1,372,454,381,1
1,374,457,384,1
1,370,453,380,1
3,476,395,400,3
3,465,386,391,3
3,470,389,393,3
3,461,383,388,3
3,464,386,391,3
3,462,384,389,3
3,463,385,390,3
3,464,385,390,3
3,461,383,388,3
3,473,391,395,3
3,462,382,385,3
3,463,384,390,3
3,462,384,389,3
3,463,384,390,3
3,460,382,388,3
3,462,384,389,3
3,463,385,390,3
3,462,384,390,3
3,472,391,391,3
3,458,381,386,3
3,462,385,390,3
3,462,384,389,3
3,459,381,387,3
2,381,305,386,2
2,377,302,383,2
2,378,303,384,2
2,376,301,382,2
2,375,301,381,2
2,375,301,382,2
2,380,305,386,2
2,377,303,383,2
2,379,304,385,2
2,376,303,383,2
2,379,305,386,2
2,376,302,383,2
2,376,302,382,2
2,376,302,381,2
2,375,301,382,2
2,374,301,381,2
2,375,302,382,2
2,374,301,382,2
2,376,301,382,2
2,375,301,381,2
2,375,301,382,2
2,374,302,381,2
2,376,302,383,2
2,377,303,384,2
2,375,302,383,2
2,377,303,385,2
2,376,302,383,2
2,376,302,383,2
4,381,381,462,4
4,381,382,463,4
4,379,380,460,4
4,379,379,460,4
4,379,380,460,4
4,381,381,463,4
4,381,381,462,4
4,381,382,462,4
4,382,382,463,4
4,380,380,460,4
4,381,381,461,4
4,380,379,461,4
4,380,380,462,4
4,381,380,462,4
4,381,380,461,4
4,380,379,460,4
4,380,379,460,4
4,379,378,460,4
4,379,379,460,4
4,380,379,459,4
4,388,385,465,4
4,380,376,454,4
4,380,380,461,4
4,379,379,459,4
4,379,379,459,4
4,380,379,460,4
4,379,379,459,4
4,380,379,461,4
4,380,379,459,4
4,376,376,460,4
4,380,378,458,4
4,380,378,458,4
4,380,378,459,4
4,380,379,460,4
4,380,378,457,4
4,379,377,457,4
